Participant ID,[Optional] What is your age?,"[Optional] To which gender identity do you most identify? 
(If not listed, please specify in ""Other"")","[Optional] According to the Fitzpatrick scale 
(https://en.wikipedia.org/wiki/Fitzpatrick_scale),
How would you classify your skin type?",[Optional] Where are you from? ,"[Optional] What is the highest degree or 
Level of school you have completed? ","[Optional] Have your received any formal musical training 
(beyond the usual music lessons in school)?","[Optional] Do you regularly engage in playing, 
Djing or producing any kind of music? ","[Optional] Would you describe 
Your musical taste as varied?","[Optional] Do you often 
Listen to Electronic Music?","[Optional] Within Electronic music, 
Would you describe your musical taste as varied?",Do you know these? [Kraftwerk],Do you know these? [Daft Punk],Do you know these? [Tangerine Dream],Do you know these? [The Chemical Brothers],Do you know these? [DJ Shadow],Do you know these? [Aphex Twin],Do you know these? [Roni Size],Do you know these? [Underworld],Do you know these? [Vangelis],Do you know these? [Moby],Do you know these? [The Prodigy],Do you know these? [Goldie],Do you know these? [Orbital],Do you know these? [Skrillex],Do you know these? [Deadmau5],Do you know these? [Nur Jaber],Do you know these? [DJ Rachael],Do you know these? [Deena Abdelwahed],Do you know these? [Loraine James],Do you know these? [Ibaaku],Do you know these? [Lafidki],Do you know these? [Upgrayedd Smurphy],Do you know these? [Sandunes],Do you know these? [Kerano],Do you know these? [Kamila Govorčin],Do you know these? [Echo Deep],Do you know these? [Faded Ghost],Do you know these? [AYN],Do you know these? [Amine K],Do you know these? [Dj Rashad],Familiarity Score,TRACK task 1,TRACK task 2,TRACK task 3,TRACK task 4,"Looking back at your choices, I
Ndicate what influenced you the most.","Looking back at your choices, indicate if 
these factors influenced your decision: 
[Tempo/BPM (fast vs. slow)]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Sub-genres or sub-styles]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Feelings, emotions, mood]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Instruments and samples]","If other factors influenced your choices, 
Please specify them:",ARTIST task 1,ARTIST task 2,ARTIST task 3,ARTIST task 4,"Looking back at your choices, 
Indicate what influenced you the most.","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Race / color / skin type]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Sex / gender / sexual orientation]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Age]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Language / nationality / social origin]","If other factors influenced your choices, 
please specify them:",BOTH task 1,BOTH task 2,BOTH task 3,BOTH task 4,"Looking back at your choices, 
Indicate what influenced you the most.","Looking back at your choices, 
Which one did you weight the most:"
11,18-24 years old,Male,3,Europe,"Bachelor’s degree (e.g. BA, BS)",No,5,3,5,4,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.28,List B,List A,List B,List B,My listening of the tracks now,Weak influence,Strong influence,Medium influence,Medium influence,"Production quality, uniqueness, sound design ",List B,List B,List B,List B,My seeing of the artists now,Strong influence,Strong influence,Weak influence,Weak influence,,List B,List B,List B,List A,My listening of the tracks and seeing of the artists now,1
12,25-34 years old,Male,I prefer not to say,North America,High school degree or equivalent,No,4,4,3,2,Maybe I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,0.20,List A,List A,List A,List B,My listening of the tracks now,Medium influence,Strong influence,Strong influence,Medium influence,,I don't know,List B,List B,List B,My seeing of the artists now,Strong influence,Strong influence,Weak influence,Strong influence,,List A,List B,I don't know,List B,My listening of the tracks and seeing of the artists now,4
13,18-24 years old,Male,1,Oceania,High school degree or equivalent,No,3,4,5,5,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.15,List B,List A,List A,List B,My listening of the tracks now,Weak influence,Strong influence,Strong influence,Medium influence,Percussion patterns in house/techno tracks,List B,List B,List A,List B,My previous knowledge/familiarity with the artists,Medium influence,Weak influence,No influence,Strong influence,,List A,List B,List B,List A,My listening of the tracks and seeing of the artists now,1
14,25-34 years old,Female,2,Europe,"Master’s degree (e.g. MA, MS, MEd)",No,1,4,4,4,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.20,List B,List A,List B,List A,My previous knowledge/familiarity with the tracks,Medium influence,Strong influence,Strong influence,Medium influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Weak influence,Weak influence,Medium influence,,List B,List B,List B,List A,My listening of the tracks and seeing of the artists now,3
15,25-34 years old,Female,2,Europe,"Master’s degree (e.g. MA, MS, MEd)",No,2,3,4,2,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.15,List B,List A,List A,List B,My listening of the tracks now,Medium influence,Medium influence,Medium influence,Strong influence,,List B,List B,List A,I don't know,My seeing of the artists now,Medium influence,Medium influence,Weak influence,Medium influence,,List A,List B,List A,List A,My listening of the tracks and seeing of the artists now,1
16,25-34 years old,Male,3,Europe,"Master’s degree (e.g. MA, MS, MEd)",Yes,5,5,5,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,0.41,List B,List B,List A,List A,My listening of the tracks now,Weak influence,Strong influence,Medium influence,Medium influence,,List B,List B,List A,I don't know,My seeing of the artists now,Medium influence,Medium influence,Medium influence,Medium influence,,List B,List B,List B,List B,My listening of the tracks and seeing of the artists now,2
17,35-44 years old,Female,I prefer not to say,Europe,"Master’s degree (e.g. MA, MS, MEd)",No,1,5,4,4,Maybe I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,0.25,I don't know,List A,List A,List B,My previous knowledge/familiarity with the tracks,Strong influence,Medium influence,Strong influence,Medium influence,,List B,List A,List A,List B,My previous knowledge/familiarity with the artists,Strong influence,Strong influence,Weak influence,Medium influence,,List B,List B,List B,List B,My previous knowledge/familiarity with the tracks and the artists,3
18,45-54 years old,Male,3,,"Master’s degree (e.g. MA, MS, MEd)",No,1,5,3,4,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.21,I don't know,List A,List A,List B,My previous knowledge/familiarity with the tracks,Medium influence,Weak influence,Strong influence,Weak influence,,List A,List A,I don't know,List A,My previous knowledge/familiarity with the artists,No influence,Strong influence,Medium influence,Strong influence,,I don't know,List A,I don't know,I don't know,My previous knowledge/familiarity with the tracks and the artists,3
19,35-44 years old,Male,1,Europe,"Doctorate (e.g. PhD, EdD)",Yes,2,4,3,4,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.33,List B,List A,List A,List B,My listening of the tracks now,Medium influence,Strong influence,Medium influence,Weak influence,,List B,List B,I don't know,List B,My seeing of the artists now,Strong influence,Medium influence,Weak influence,Strong influence,,List B,I don't know,List A,List B,My listening of the tracks and seeing of the artists now,3
20,35-44 years old,Male,1,Europe,"Doctorate (e.g. PhD, EdD)",Yes,4,3,2,3,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.06,List B,List A,List A,List B,My listening of the tracks now,Weak influence,Medium influence,Medium influence,Strong influence,,List B,List B,List A,List B,My seeing of the artists now,Medium influence,Medium influence,No influence,Medium influence,,List B,List B,List B,List A,My listening of the tracks and seeing of the artists now,2
21,25-34 years old,Female,3,Europe,"Master’s degree (e.g. MA, MS, MEd)",Yes,1,4,4,4,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.43,List B,List A,List B,List B,My listening of the tracks now,Medium influence,Strong influence,Medium influence,Strong influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Medium influence,Weak influence,Strong influence,,List B,List B,List B,List B,My listening of the tracks and seeing of the artists now,4
22,18-24 years old,Male,1,Europe,"Master’s degree (e.g. MA, MS, MEd)",Yes,5,5,4,4,I know them/her/him,I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.20,List B,List A,List A,List B,My listening of the tracks now,Weak influence,Strong influence,Medium influence,Strong influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Strong influence,Weak influence,Medium influence,,List B,List B,List B,List B,My listening of the tracks and seeing of the artists now,2
23,25-34 years old,Male,2,Europe,"Master’s degree (e.g. MA, MS, MEd)",No,1,4,5,4,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,0.48,List B,List A,List A,List B,My listening of the tracks now,Strong influence,Medium influence,Medium influence,Strong influence,,List B,List B,List A,List B,My seeing of the artists now,Medium influence,Strong influence,Medium influence,Weak influence,"What I was looking at the most while studying the pictures was also colors, body/face position and direction of the look, clothes too.",List B,I don't know,List B,List A,My listening of the tracks and seeing of the artists now,2
